Listado Exhaustivo de Expositores Expoagro 2026,,,
Empresa,Rubro(s),Ubicación,Web / Redes Sociales
TAURUS ENERGIA,"Renovables, solar, grupos electrógenos",Lote Aire Libre - 1463,taurusenergia.com / FB e IG: taurusenergiaok
TBEH - AGRO VIALES,"Movimiento tierra, desmalezadoras",Lote Aire Libre - 810,tbeh.com.ar / FB e IG: tbehoficial
TCL,"Energía solar, electrodomésticos",Lote Aire Libre - 1620,radiovictoria.com.ar/es / IG: tclargentina
TECNICOLON PLATAFORMAS,"Fab. plataformas, cabezales",Lote Aire Libre - 318,tecnicolon.com.ar / FB e IG: tecnicolon_plataformas
TECOMEC SRL,"Ag. precisión, bombas, pulverización",Carpa 1 - H02,tecomec.com / IG: agresagricultura
TEDESCHI,"Fab. maquinaria, sembradoras, forrajes",Lote Aire Libre - 1468,todotedeschi.com / FB e IG: tedeschimaquinarias
TEKRON,"Ag. precisión, drones, tecnología",Lote Aire Libre - 720,tekron.com.ar / FB: Tekron / IG: tekron_dji_droones
TERNIUM,"Siderurgia, industria, aceros",Lote Aire Libre - 570,ternium.com / FB: Ternium.ar / X e IG: terniumargentina
TERRANOVA - 360 YIELD,"Riego, ag. precisión, estercoleras",Lote Aire Libre - 1032,terranovatfc.com / IG: terranova_argentina
TESMA,"Termometría, humedad, Ag-Tech, granos",Carpa 2 - L02,tesma.com.ar / X e IG: tesma
THERRA,"Acoplados tolvas, tanques",Lote Aire Libre - 1421A,therra.com.ar / FB e IG: Therraargentina
TIM ARGENTINA,Fabricante de maquinaria agrícola,Lote Aire Libre - 220,timargentina.com / FB e IG: tim_argentina_
TITAN PNEUS DO BRASIL,Neumáticos,Lote Aire Libre - 1467,titanlat.com/site / IG: titanpneus
TMC AGRO,"Eq. ganadero, ganadería, herramientas",Lote Aire Libre - E39,tmcagro.com / FB e IG: tmcagro
TT GLOBAL,"Movimiento tierra, tecnología",Lote Aire Libre - 951,tt-global.net / FB e IG: doblettglobal
TURBODISEL S.A,"Tractores, viales, grupos, filtros",Lote Aire Libre - 1420B,turbodisel.net / FB e IG: turbodisel_sa
UDOR ARGENTINA SA,"Acc. pulverizadoras, bombas, agropartes",Carpa 1 - F02,udorargentina.com.ar / FB e IG: udor.argentina
UMC Y HACIENDAS,Ganadería,Sector Ganadería,umchv.ar / IG: umc_haciendasvillaguay
UNIVERSIDAD AUSTRAL,"Facultades, institucional",Espacio AgTech - AG06/07,"austral.edu.ar / FB, X e IG: australrosario"
UNIV. CATÓLICA (UCA),"Universidad, facultades, prensa",Espacio AgTech - AG12/13,"uca.edu.ar / FB, X e IG: univcatolicaargentina"
UNYPARTS,"Agropartes, repuestos, implementos",Carpa 2 - L13,unyparts.com.br
VALLEY IRRIGATION,"Equipos de riego, renovables, ag. precisión",Lote Aire Libre - 931,valleyirrigation.com / FB e IG: valley.latinoamerica
VALTRA,"Máquinas agrícolas, tractores, tecnología",Lote Aire Libre - 910,valtra.com.ar / FB e IG: valtrahispano / X: valtraargentina
VENERGY S.A.,"Renovables, módulos habitacionales",Lote Aire Libre - M08,venergy.com.ar
VESCONITE,"Bujes industriales, repuestos agrícolas",Carpa 1- E02,vesarg.com / FB e IG: Vesconite.Argentina
VILLA,"Motores, grupos, tractores, cortadoras",Lote Aire Libre - 1266,"villa.com.ar / FB, X e IG: villamotor"
VILLANUEVA DRONES,"Drones, servicios, tecnología",Lote Aire Libre - N30,villanuevadrones.com.ar / IG: villanueva.drones
VISA AGRO,Tarjeta de crédito,Centro Agropampero,visa.com.ar
VOGE ARGENTINA,Motos,Plaza Seca - AG36/37,vogeargentina.com.ar / FB e IG: vogeargentina
VOLKSWAGEN ARGENTINA,Automotrices,Lote Aire Libre - N35,"volkswagen.com.ar / FB, X e IG: vwargentina"
VOLVO TRUCKS & BUSES,Transporte de carga,Lote Aire Libre - 1320,volvotrucks.com.ar / FB e IG: volvotrucksar
VULCANO S.A.,"Remolques, acoplados, máquinas",Lote Aire Libre - P26,vulcano-remolques.com.ar / FB e IG: vulcanolasrosas
WALD S.A. / WATERDOG,Merchandising y beneficios,Lote Aire Libre - 874,waldsa.com / FB e IG: waterdog.oficial / X: _waterdog
WALTER ARGENTINA,"Herramientas, eq. industrial",Carpa 2 - T03,walterargentina.com / IG: walterabrasivos
WINCAMPO,"Software ganadero, consultoría",Carpa 1 - A04,wincampo.com / FB e IG: wincampo
XAG ATLAS,"Agricultura de precisión, drones",Lote Aire Libre - N70,xagatlas.com / FB e IG: xag.atlas
XINGTAI VOKIN RUBBER,Agropartes,Carpa 1 - I08,cnvokin.en.made-in-china.com
YOMEL,"Henificación, fertilizadoras, implementos",Lote Aire Libre - 920,yomel.com.ar / FB e IG: yomel_argentina / X: yomelargentina
YPF AGRO,"Insumos, servicios agropecuarios",Lote Aire Libre - N55,"ypfagro.com.ar / FB, X e IG: ypfagro"
ZMG ARGENTINA,Máquinas viales y agrícolas,Lote Aire Libre - 632,zmg-argentina.com.ar / FB e IG: zmg argentina
ZOWL LABS SRL,"IA en video e imagen, consultoría",Espacio AgTech – AG18,"zowllabs.com / FB, X e IG: zowl_labs"
